,Artist,Rank,Song1,Year
58,Bill Haley And His Comets,9,(We're Gonna) Rock Around The Clock,1954
59,The Crests,10,Beside You,1958
60,The Beatles,11,Revolution,1968
61,The 4 Seasons,12,Silence Is Golden,1964
62,The Fidelity's,13,Hold On To What'Cha Got (And Get One More),1958
63,Jay And The Americans,14,When It's All Over,1965
64,Elvis Presley,15,Mama Liked The Roses,1970
65,John Lennon / Plastic Ono Band,16,It's So Hard,1971
66,The 4 Seasons,17,I've Cried Before,1962
67,The Platters,18,I'm Just A Dancing Partner,1955
68,The Duprees,19,Take Me As I Am,1962
69,Elvis Presley,20,Treat Me Nice,1957
70,Frank Sinatra,21,Blue Lace,1969
71,The Elegants,22,Getting Dizzy,1958
72,The Beatles,23,Act Naturally,1965
73,Dion,24,Runaway Girl,1961
74,Elvis Presley With The Jordanaires,25,I Gotta Know,1960
75,Dion And The Belmonts,26,I've Cried Before,1959
76,Frank Sinatra,27,That's What God Looks Like To Me,1980
77,The Rolling Stones,28,The Under Assistant West Coast Promotion Man,1965
78,Elvis Presley,29,Hound Dog,1956
79,Brooklyn Bridge,30,"Your Kite, My Kite.",1968
80,The Dell-Vikings,31,How Can I Find True Love,1957
81,The Platters,32,Heaven On Earth,1956
82,The Teenagers Featuring Frankie Lymon,33,Please Be Mine,1955
83,The 4 Seasons,34,No Surfin' Today,1964
84,Fats Domino,35,Honey Chile,1956
85,Little Anthony And The Imperials,36,Two People In The World,1958
86,Elvis Presley,37,You'll Think Of Me,1969
87,The Charts,38,Zoop,1957
88,The Dubs,39,Such Lovin',1957
89,Don McLean,40,American Pie - Part II,1971
90,Dion,41,The Majestic,1961
91,The Rays,42,Daddy Cool,1957
92,The Beatles,43,I Saw Her Standing There,1963
93,The Doors,44,The Crystal Ship,1967
94,Diana Ross And Lionel Richie,45,Endless Love (Instrumental),1981
95,Safaris,46,4 Steps To Love,1960
96,Simon And Garfunkel,47,Keep The Customer Satisfied,1970
97,Billy Ward And His Dominoes,48,Lucinda,1957
98,The Danleers,49,Wheelin' And A-Dealin',1958
99,The Dell-Vikings,50,Don't Be A Fool,1957
100,Dion And The Belmonts,51,I Wonder Why,1958
101,Chuck Berry,52,Johnny B. Goode,1958
102,The Platters,53,Only You (And You Alone),1955
103,The Righteous Brothers,54,You've Lost That Lovin' Feelin',1964
104,Earls,55,I Believe,1963
105,Simon And Garfunkel,56,The Sounds Of Silence,1965
106,The Duprees,57,Have You Heard,1963
107,The Ronettes,58,Be My Baby,1963
108,Billy Joel,59,Just The Way You Are,1977
109,Jay And The Americans,60,This Magic Moment,1968
110,The Skyliners,61,This I Swear,1959
111,The Angels,62,Til,1961
112,The Cadillacs,63,Gloria,1954
113,Led Zeppelin,64,Stairway To Heaven [Mono],1972
114,The Five Satins,65,To The Aisle,1957
115,The Flamingos,66,I Only Have Eyes For You,1959
116,Elvis Presley,67,Heartbreak Hotel,1956
117,Danny And The Juniors,68,At The Hop,1957
118,Debby Boone,69,You Light Up My Life,1977
119,Elvis Presley,70,Hound Dog,1956
120,The Channels,71,The Closer You Are,1956
121,The Diamonds,72,Little Darlin',1957
122,Kenny Rogers,73,Lady,1980
123,Chicago,74,Beginnings,1971
124,Dion And The Belmonts,75,Where Or When,1959
125,The Temptations,76,My Girl,1964
126,The Beach Boys,77,Good Vibrations,1966
127,Elvis Presley With The Jordanaires,78,It's Now Or Never,1960
128,The Platters,79,Smoke Gets In Your Eyes,1958
129,Chubby Checker,80,The Twist,1961
130,The Four Seasons,81,"December, 1963 (Oh, What A Night)",1975
131,Elvis Presley,82,Memories,1969
132,Ritchie Valens,83,Donna,1958
133,The Drifters,84,Up On The Roof,1962
134,Elvis Presley,85,"I Want You, I Need You, I Love You",1956
135,Bruce Springsteen,86,Born To Run,1975
136,Barbra Streisand,87,The Way We Were,1973
137,The Moonglows,88,Sincerely,1954
138,Harry Chapin,89,Taxi,1972
139,The Association,90,Cherish,1966
140,Fats Domino,91,I'm Walkin',1957
141,The Supremes,92,Baby Love,1964
142,Elvis Presley,93,All Shook Up,1957
143,Barbra Streisand,94,I Am Woman,1964
144,Fats Domino,95,Bo Weevil,1956
145,Gene Chandler,96,Duke Of Earl,1961
146,The Beatles,97,Let It Be,1970
147,The Nutmegs,98,Story Untold,1955
148,Fats Domino,99,My Girl Josephine,1960
149,The Marcels,100,Blue Moon,1961
150,Dion And The Belmonts,51,Teen Angel,1958
151,Chuck Berry,52,Around And Around,1958
152,The Platters,53,"Bark, Battle And Ball",1955
153,The Righteous Brothers,54,There's A Woman,1964
154,Earls,55,Don't Forget,1963
155,Simon And Garfunkel,56,We've Got A Groovey Thing Goin',1965
156,The Duprees,57,Love Eyes,1963
157,The Ronettes,58,Tedesco And Pitman,1963
158,Billy Joel,59,Get It Right The First Time,1977
159,Jay And The Americans,60,Since I Don't Have You,1968
160,The Skyliners,61,Tomorrow,1959
161,The Angels,62,A Moment Ago,1961
162,The Cadillacs,63,I Wonder Why,1954
163,Led Zeppelin,64,Stairway To Heaven [Stereo],1972
164,The Five Satins,65,Wish I Had My Baby,1957
165,The Flamingos,66,Goodnight Sweetheart,1959
166,Elvis Presley,67,I Was The One,1956
167,Danny And The Juniors,68,Sometimes (When I'm All Alone),1957
168,Debby Boone,69,Hasta Mañana,1977
169,Elvis Presley,70,Don't Be Cruel,1956
170,The Channels,71,Now You Know (I Love You So),1956
171,The Diamonds,72,Faithful And True,1957
172,Kenny Rogers,73,Sweet Music Man,1980
173,Chicago,74,Colour My World,1971
174,Dion And The Belmonts,75,That's My Desire,1959
175,The Temptations,76,(Talking 'Bout) Nobody But My Baby,1964
176,The Beach Boys,77,Let's Go Away For Awhile,1966
177,Elvis Presley With The Jordanaires,78,A Mess Of Blues,1960
178,The Platters,79,No Matter What You Are,1958
179,Chubby Checker,80,Twistin' U.S.A.,1961
180,The Four Seasons,81,Slip Away,1975
181,Elvis Presley,82,Charro,1969
182,Ritchie Valens,83,La Bamba,1958
183,The Drifters,84,Another Night With The Boys,1962
184,Elvis Presley,85,My Baby Left Me,1956
185,Bruce Springsteen,86,Meeting Across The River,1975
186,Barbra Streisand,87,What Are You Doing The Rest Of Your Life?,1973
187,The Moonglows,88,Tempting,1954
188,Harry Chapin,89,Empty,1972
189,The Association,90,Don't Blame It On Me,1966
190,Fats Domino,91,I'm In The Mood For Love,1957
191,The Supremes,92,Ask Any Girl,1964
192,Elvis Presley,93,That's When Your Heartaches Begin,1957
193,Barbra Streisand,94,People,1964
194,Fats Domino,95,Don't Blame It On Me,1956
195,Gene Chandler,96,Kissin' In The Kitchen,1961
196,The Beatles,97,You Know My Name (Look Up My Number),1970
197,The Nutmegs,98,Make Me Lose My Mind,1955
198,Fats Domino,99,Natural Born Lover,1960
199,The Marcels,100,Goodbye To Love,1961
200,Percy Faith And His Orchestra,101,"The Theme From ""A Summer Place""",1959
201,The Beatles,102,She Loves You,1964
202,Vito And The Salutations,103,Gloria,1962
203,Randy And The Rainbows,104,Denise,1963
204,The 4 Seasons,105,Opus 17 (Don't You Worry 'Bout Me),1966
205,The Passions,106,Just To Be With You,1959
206,The Earls,107,Remember Then,1962
207,The Jesters [doowop],108,The Wind,1960
208,Fats Domino,109,Let The Four Winds Blow,1961
209,Paul Anka,110,Diana,1957
210,The Happenings,111,See You In September,1966
211,The Shirelles,112,Will You Love Me Tomorrow,1960
212,The Dave Clark Five,113,Because,1964
213,Johnny Mathis,114,Chances Are,1957
214,The Tokens,115,The Lion Sleeps Tonight,1961
215,Frankie Valli,116,Can't Take My Eyes Off You,1967
216,The Capris [New York],117,There's A Moon Out Tonight,1960
217,Del Shannon,118,Runaway,1961
218,The Platters,119,Twilight Time,1958
219,The Excellents,120,Coney Island Baby,1962
220,The Crickets,121,That'll Be The Day,1957
221,Petula Clark,122,Downtown,1964
222,Barbra Streisand,123,"Love Theme From ""A Star Is Born"" (Evergreen)",1976
223,Elvis Presley,124,If I Can Dream,1968
224,Beach Boys,125,Surfin' U.S.A.,1963
225,The Shirelles,126,Soldier Boy,1962
226,Barry Manilow,127,Even Now,1978
227,The Heartbeats [Doo Wop],128,A Thousand Miles Away,1956
228,Billy Joel,129,Piano Man,1973
229,The Drifters,130,Under The Boardwalk,1964
230,Johnny Ace,131,Pledging My Love,1954
231,The Dubs,132,Chapel Of Dreams,1959
232,The Beatles,133,The Long And Winding Road,1970
233,John Lennon,134,(Just Like) Starting OverYoko Ono,1980
234,Barry Manilow,135,Mandy,1974
235,Lesley Gore,136,It's My Party,1963
236,The Harp-Tones,137,A Sunday Kind Of Love,1953
237,Elvis Presley,138,In The Ghetto,1969
238,The 4 Seasons,139,Let's Hang On!,1965
239,"The Chimes [60s, Brooklyn]",140,Once In Awhile,1960
240,The Paragons [Doo-Wop],141,Florence,1957
241,Paul Anka,142,Put Your Head On My Shoulder,1959
242,Frankie Avalon,143,Venus,1959
243,The Beatles,144,And I Love Her,1964
244,The Cleftones,145,Heart And Soul,1961
245,The Videos,146,"Trickle, Trickle",1958
246,The Beatles,147,Help!,1965
247,Johnny Mathis,148,Chances Are,1957
248,The Chords [New York],149,Sh-boom,1954
249,Richard Harris,150,Mac Arthur Park,1968
250,Percy Faith And His Orchestra,101,Go-Go-Po-Go,1959
251,The Beatles,102,I'll Get You,1964
252,Vito And The Salutations,103,Let's Untwist The Twist,1962
253,Randy And The Rainbows,104,Come Back,1963
254,The 4 Seasons,105,Beggars' Parade,1966
255,The Passions,106,Oh Melancholy Me,1959
256,The Earls,107,Let's Waddle,1962
257,The Jesters [doowop],108,Sally Green,1960
258,Fats Domino,109,Good Hearted Man,1961
259,Paul Anka,110,Don't Gamble With Love,1957
260,The Happenings,111,He Thinks He's A Hero,1966
261,The Shirelles,112,Boys,1960
262,The Dave Clark Five,113,Theme Without A Name,1964
263,Johnny Mathis,114,The Twelfth Of Never,1957
264,The Tokens,115,Tina,1961
265,Frankie Valli,116,The Trouble With Me,1967
266,The Capris [New York],117,Indian Girl,1960
267,Del Shannon,118,Jody,1961
268,The Platters,119,Out Of My Mind,1958
269,The Excellents,120,You Baby You,1962
270,The Crickets,121,I'm Lookin' For Someone To Love,1957
271,Petula Clark,122,You'd Better Love Me,1964
272,Barbra Streisand,123,I Believe In Love,1976
273,Elvis Presley,124,Edge Of Reality,1968
274,Beach Boys,125,Shut Down,1963
275,The Shirelles,126,Love Is A Swingin' Thing,1962
276,Barry Manilow,127,I Was A Fool (To Let You Go),1978
277,The Heartbeats [Doo Wop],128,Oh Baby Don't,1956
278,Billy Joel,129,You're My Home,1973
279,The Drifters,130,I Don't Want To Go On Without You,1964
280,Johnny Ace,131,No Money,1954
281,The Dubs,132,Is There A Love For Me,1959
282,The Beatles,133,For You Blue,1970
283,John Lennon,134,Kiss Kiss Kiss,1980
284,Barry Manilow,135,Something's Comin' Up,1974
285,Lesley Gore,136,Danny,1963
286,The Harp-Tones,137,I'll Never Tell,1953
287,Elvis Presley,138,Any Day Now,1969
288,The 4 Seasons,139,On Broadway Tonight,1965
289,"The Chimes [60s, Brooklyn]",140,Summer Night,1960
290,The Paragons [Doo-Wop],141,Hey Little School Girl,1957
291,Paul Anka,142,Don't Ever Leave Me,1959
292,Frankie Avalon,143,I'm Broke,1959
293,The Beatles,144,If I Fell,1964
294,The Cleftones,145,How Do You Feel,1961
295,The Videos,146,"Moonglow, You Know",1958
296,The Beatles,147,I'm Down,1965
297,Johnny Mathis,148,The Twelfth Of Never,1957
298,The Chords [New York],149,Little Maiden,1954
299,Richard Harris,150,Didn't We,1968
300,John Lennon,151,WomanYoko Ono,1981
301,The Aquatones,152,She's The One For Me,1958
302,Frankie Ford,153,Sea Cruise,1958
303,The Crests,154,Step By Step,1960
304,Lou Christie,155,Lightnin' Strikes,1965
305,The Beatles,156,Something,1969
306,Elvis Presley With The Jordanaires,157,Loving You,1957
307,Diana Ross,158,Ain't No Mountain High Enough,1970
308,Roy Orbison And The Candy Men,159,Pretty Woman,1964
309,Lulu,160,The Boat That I Row,1967
310,Bobby Darin,161,Dream Lover,1959
311,The Chantels,162,Maybe,1957
312,The Union Gap Featuring Gary Puckett,163,"Woman, Woman",1967
313,The Animals,164,The House Of The Rising Sun,1964
314,Paul And Paula,165,Young Lovers,1963
315,Christopher Cross,166,Arthur's Theme (Best That You Can Do),1981
316,The Duprees,167,My Own True Love,1962
317,Buddy Holly,168,Peggy Sue,1957
318,The Rolling Stones,169,Brown Sugar,1971
319,Harvey And The Moonglows,170,Ten Commandments Of Love,1958
320,The Silhouettes,171,Get A Job,1957
321,The 4 Seasons,172,I've Got You Under My Skin,1966
322,The Beach Boys,173,California Girls,1965
323,Elvis Presley,174,Burning Love,1972
324,The Monotones,175,Book Of Love,1958
325,Willows,176,Church Bells May Ring,1956
326,Jan And Dean,177,Baby Talk,1959
327,Bob Dylan,178,Like A Rolling Stone,1965
328,Johnny Mathis,179,Misty,1959
329,The Beach Boys,180,Barbara Ann,1965
330,Ricky Nelson,181,Poor Little Fool,1958
331,Elvis Presley,182,One NightElvis Presley With The Jordanaires,1958
332,Buddy Holly,183,Rave On,1958
333,Vito And The Salutations,184,Unchained Melody,1963
334,Barbra Streisand And Barry Gibb,185,GuiltyBarbra Streisand,1980
335,Roberta Flack,186,The First Time Ever I Saw Your Face,1972
336,The Beach Boys,187,"Fun, Fun, Fun",1964
337,The Mama's And The Papa's,188,California Dreamin',1965
338,The Beatles,189,Michelle,1966
339,Bobby Darin,190,Beyond The Sea,1960
340,Conway Twitty,191,It's Only Make Believe,1958
341,Connie Francis,192,Where The Boys Are,1961
342,The Archies,193,"Sugar, Sugar",1969
343,The Beach Boys,194,"Help Me, Rhonda",1965
344,The Skyliners,195,Pennies From Heaven,1960
345,Lenny Welch,196,Since I Fell For You,1963
346,Judy Collins,197,Send In The Clowns,1975
347,Lee Andrews And The Hearts,198,Try The Impossible,1958
348,The 4 Seasons,199,Ronnie,1964
349,Kim Carnes,200,Bette Davis Eyes,1981
350,John Lennon,151,Beautiful Boys,1981
351,The Aquatones,152,You,1958
352,Frankie Ford,153,Roberta,1958
353,The Crests,154,Gee (But I'd Give The World),1960
354,Lou Christie,155,Cryin' In The Streets,1965
355,The Beatles,156,Come Together,1969
356,Elvis Presley With The Jordanaires,157,(Let Me Be Your) Teddy Bear,1957
357,Diana Ross,158,Can't It Wait Until Tomorrow,1970
358,Roy Orbison And The Candy Men,159,Yo Te Amo Maria,1964
359,Lulu,160,To Sir With Love,1967
360,Bobby Darin,161,Bullmoose,1959
361,The Chantels,162,Come My Little Baby,1957
362,The Union Gap Featuring Gary Puckett,163,Don't Make Promises,1967
363,The Animals,164,Talkin' 'Bout You,1964
364,Paul And Paula,165,Ba-Hey-Be,1963
365,Christopher Cross,166,Minstrel Gigolo (Edit),1981
366,The Duprees,167,Ginny,1962
367,Buddy Holly,168,Everyday,1957
368,The Rolling Stones,169,Bitch,1971
369,Harvey And The Moonglows,170,Mean Old Blues,1958
370,The Silhouettes,171,I Am Lonely,1957
371,The 4 Seasons,172,Huggin' My Pillow,1966
372,The Beach Boys,173,Let Him Run Wild,1965
373,Elvis Presley,174,It's A Matter Of Time,1972
374,The Monotones,175,You Never Loved Me,1958
375,Willows,176,Baby Tell Me,1956
376,Jan And Dean,177,"Jeanette, Get Your Hair Done",1959
377,Bob Dylan,178,Gates Of Eden,1965
378,Johnny Mathis,179,The Story Of Our Love,1959
379,The Beach Boys,180,Girl Don't Tell Me,1965
380,Ricky Nelson,181,Don't Leave Me This Way,1958
381,Elvis Presley,182,I Got Stung,1958
382,Buddy Holly,183,Take Your Time,1958
383,Vito And The Salutations,184,"Hey, Hey, Baby",1963
384,Barbra Streisand And Barry Gibb,185,Life Story,1980
385,Roberta Flack,186,Trade Winds,1972
386,The Beach Boys,187,Why Do Fools Fall In Love,1964
387,The Mama's And The Papa's,188,Somebody Groovy,1965
388,The Beatles,189,Girl,1966
389,Bobby Darin,190,That's The Way Love Is,1960
390,Conway Twitty,191,I'll Try,1958
391,Connie Francis,192,No One,1961
392,The Archies,193,Melody Hill,1969
393,The Beach Boys,194,"Kiss Me, Baby",1965
394,The Skyliners,195,I'll Be Seeing You,1960
395,Lenny Welch,196,Are You Sincere,1963
396,Judy Collins,197,Houses,1975
397,Lee Andrews And The Hearts,198,Nobody's Home,1958
398,The 4 Seasons,199,Born To Wander,1964
399,Kim Carnes,200,Miss You Tonite,1981
400,The Fascinators,201,Chapel Bells,1958
401,Big Bopper,202,Chantilly Lace,1958
402,The Flamingos,203,Lovers Never Say Goodbye,1958
403,The Beatles,204,And I Love Her,1964
404,The 4 Seasons,205,Big Girls Don't Cry,1962
405,Elton John,206,Your Song,1970
406,The Lettermen,207,The Way You Look Tonight,1961
407,Jerry Lee Lewis,208,Whole Lot Of Shakin' Going On,1957
408,Jan And Dean,209,Surf City,1963
409,Elvis Presley With The Jordanaires,210,Loving You,1957
410,Moonglows,211,Most Of All,1955
411,Shep And The Limelites,212,Daddy's Home,1961
412,The Shells,213,Baby Oh Baby,1960
413,The Temptations [Goldisc],214,Barbara,1960
414,The Angels,215,My Boyfriend's Back,1963
415,Rosie And The Originals,216,Angel Baby,1960
416,Bread,217,If,1971
417,Johnnie And Joe,218,Over The Mountain Across The Sea,1957
418,Chuck Berry And His Combo,219,Maybellene,1955
419,The Moody Blues,220,Nights In White Satin,1972
420,The 4 Seasons,221,Save It For Me,1964
421,Olivia Newton-John,222,I Honestly Love You,1974
422,The Jive Five,223,My True Story,1961
423,Barry Manilow,224,Weekend In New England,1976
424,The Brooklyn Bridge,225,Blessed Is The Rain,1969
425,The Knockouts,226,Darling Lorraine,1959
426,Roy Orbison,227,Crying,1961
427,The Beatles,228,All My Loving,1964
428,The Mystics [New York],229,Hushabye,1959
429,The Harptones,230,Life Is But A Dream,1955
430,Ricky Nelson,231,Travelin' Man,1961
431,Barry McGuire,232,Eve Of Destruction,1965
432,Don McLean,233,Vincent,1972
433,Dawn Featuring Tony Orlando,234,Tie A Yellow Ribbon Round The Ole Oak Tree,1973
434,Rod Stewart,235,Reason To Believe,1971
435,The Schoolboys [DooWop],236,Shirley,1956
436,Neil Sedaka,237,Breaking Up Is Hard To Do,1962
437,The Grass Roots,238,Midnight Confessions,1968
438,The Beach Boys,239,Wouldn't It Be Nice,1966
439,Bobby Darin,240,Splish Splash,1958
440,The Students,241,I'm So Young,1958
441,Freddy Cannon,242,Palisades Park,1962
442,Sheena Easton,243,For Your Eyes OnlyBill Conti,1981
443,The Shields,244,You Cheated,1958
444,Jay And The Americans,245,Some Enchanted Evening,1965
445,Lesley Gore,246,You Don't Own Me,1963
446,Christopher Cross,247,Sailing,1980
447,Bee Gees,248,Stayin' Alive,1977
448,Commodores,249,Still,1979
449,The Tune Weavers,250,"Happy, Happy Birthday BabyPaul Gayten",1957
450,The Fascinators,201,I Wonder Who,1958
451,Big Bopper,202,Purple People Eater Meets Witch Doctor,1958
452,The Flamingos,203,That Love Is You,1958
453,The Beatles,204,If I Fell,1964
